term,variable,clase_origen,ola_origen,periodo,clase_destino,comparacion,coeficiente,se,z,p_value,or,or_ic_lower,or_ic_upper,significativo,signo
edad.C,Edad,3,2021,2021_2023,4,Clase 4 vs Clase 1,0.1633,0.502,0.3252,0.745,1.1773,0.4402,3.1491,FALSE,positivo
edad^4,Edad,3,2021,2021_2023,2,Clase 2 vs Clase 1,0.1664,0.2901,0.5735,0.5663,1.181,0.6689,2.0853,FALSE,positivo
edad^4,Edad,3,2021,2021_2023,3,Clase 3 vs Clase 1,-1.8207,0.4056,-4.4891,0,0.1619,0.0731,0.3585,TRUE,negativo
edad^4,Edad,3,2021,2021_2023,4,Clase 4 vs Clase 1,0.6055,0.4374,1.3845,0.1662,1.8322,0.7775,4.3177,FALSE,positivo
edad^5,Edad,3,2021,2021_2023,2,Clase 2 vs Clase 1,-0.0738,0.2637,-0.2798,0.7796,0.9289,0.554,1.5574,FALSE,negativo
edad^5,Edad,3,2021,2021_2023,3,Clase 3 vs Clase 1,0.6588,0.4254,1.5485,0.1215,1.9325,0.8394,4.4488,FALSE,positivo
edad^5,Edad,3,2021,2021_2023,4,Clase 4 vs Clase 1,0.06,0.3902,0.1536,0.8779,1.0618,0.4942,2.2814,FALSE,positivo
d1_1,Percepción de conflicto,3,2021,2021_2023,2,Clase 2 vs Clase 1,-0.595,0.1408,-4.2253,0,0.5516,0.4185,0.7269,TRUE,negativo
d1_1,Percepción de conflicto,3,2021,2021_2023,3,Clase 3 vs Clase 1,0.2932,0.2371,1.237,0.2161,1.3408,0.8425,2.1337,FALSE,positivo
d1_1,Percepción de conflicto,3,2021,2021_2023,4,Clase 4 vs Clase 1,0.3145,0.2416,1.3017,0.193,1.3695,0.853,2.1989,FALSE,positivo
c5,Confianza en pueblos originarios,3,2021,2021_2023,2,Clase 2 vs Clase 1,-0.1837,0.1577,-1.1654,0.2439,0.8322,0.6109,1.1335,FALSE,negativo
c5,Confianza en pueblos originarios,3,2021,2021_2023,3,Clase 3 vs Clase 1,-0.0273,0.2398,-0.1137,0.9095,0.9731,0.6082,1.5569,FALSE,negativo
c5,Confianza en pueblos originarios,3,2021,2021_2023,4,Clase 4 vs Clase 1,-0.0966,0.2287,-0.4221,0.6729,0.908,0.5799,1.4216,FALSE,negativo
d5_1,Justicia procedimental,3,2021,2021_2023,2,Clase 2 vs Clase 1,0.6506,0.1502,4.3298,0,1.9166,1.4277,2.5729,TRUE,positivo
d5_1,Justicia procedimental,3,2021,2021_2023,3,Clase 3 vs Clase 1,1.651,0.2169,7.6133,0,5.212,3.4074,7.9725,TRUE,positivo
d5_1,Justicia procedimental,3,2021,2021_2023,4,Clase 4 vs Clase 1,1.602,0.2095,7.6462,0,4.9631,3.2916,7.4835,TRUE,positivo
d6_1,Identificación con la causa,3,2021,2021_2023,2,Clase 2 vs Clase 1,-0.9027,0.1999,-4.5159,0,0.4055,0.274,0.6,TRUE,negativo
d6_1,Identificación con la causa,3,2021,2021_2023,3,Clase 3 vs Clase 1,-1.8211,0.2799,-6.5067,0,0.1618,0.0935,0.2801,TRUE,negativo
d6_1,Identificación con la causa,3,2021,2021_2023,4,Clase 4 vs Clase 1,-1.0001,0.2687,-3.7225,2e-4,0.3678,0.2172,0.6228,TRUE,negativo
c13,Frecuencia de contacto,3,2021,2021_2023,2,Clase 2 vs Clase 1,-0.0063,0.1102,-0.0567,0.9548,0.9938,0.8006,1.2335,FALSE,negativo
c13,Frecuencia de contacto,3,2021,2021_2023,3,Clase 3 vs Clase 1,-0.2152,0.1624,-1.3253,0.1851,0.8064,0.5865,1.1086,FALSE,negativo
c13,Frecuencia de contacto,3,2021,2021_2023,4,Clase 4 vs Clase 1,0.0638,0.1584,0.4024,0.6874,1.0658,0.7813,1.454,FALSE,positivo
