folio,ola,urbano_rural,mujer,indi,edad,d1_1,c5,d5_1,d6_1,c13,d3_1_red,d3_2_red,d4_2_red,d4_3_red,time4
110101608,1,1,Hombre,no_indi,55_64,4,2,1,4,2,1,2,1,1,1
110101608,2,1,Hombre,indi,55_64,4,4,2,4,3,1,1,2,1,2
110101608,3,1,Hombre,no_indi,55_64,4,4,1,5,4,1,1,1,1,3
110101608,4,1,Hombre,no_indi,55_64,2,4,1,3,2,2,2,1,1,4
110101702,1,1,Hombre,indi,55_64,5,4,2,5,5,1,2,2,1,1
110101702,2,1,Hombre,indi,55_64,4,4,2,4,2,1,1,1,1,2
110101702,3,1,Hombre,indi,55_64,5,5,1,5,3,1,1,2,1,3
110101702,4,1,Hombre,indi,55_64,5,5,1,5,5,1,1,2,1,4
110101707,1,1,Mujer,indi,25_34,5,3,1,4,1,1,1,1,1,1
110101707,2,1,Mujer,indi,35_44,4,3,2,3,1,1,1,1,1,2
110101707,3,1,Mujer,indi,35_44,4,3,2,4,2,1,1,1,1,3
110101707,4,1,Mujer,indi,35_44,3,4,4,3,2,2,2,2,2,4
110101801,1,1,Mujer,indi,45_54,4,4,3,5,3,1,1,1,1,1
110101801,2,1,Mujer,indi,55_64,4,4,3,3,4,2,1,1,1,2
110101801,3,1,Mujer,indi,55_64,4,4,3,4,4,2,2,1,1,3
110101801,4,1,Mujer,indi,55_64,5,5,3,5,5,1,1,1,1,4
110101804,1,1,Mujer,no_indi,45_54,4,3,2,2,5,1,1,1,1,1
110101804,2,1,Mujer,indi,55_64,4,4,1,2,1,1,1,1,1,2
110101804,3,1,Mujer,indi,55_64,5,4,4,4,2,1,1,1,1,3
110101804,4,1,Mujer,indi,55_64,5,4,2,4,3,1,1,1,1,4
110101808,1,1,Hombre,indi,25_34,5,4,1,4,5,1,1,2,2,1
110101808,2,1,Hombre,indi,25_34,4,4,1,5,3,1,1,2,2,2
110101808,3,1,Hombre,indi,25_34,5,4,2,4,3,1,1,2,2,3
110101808,4,1,Hombre,indi,35_44,4,4,1,4,3,1,1,2,2,4
110101906,1,1,Hombre,no_indi,65+,5,4,2,4,1,1,1,1,1,1
110101906,2,1,Hombre,no_indi,65+,4,4,2,5,2,1,1,1,1,2
110101906,3,1,Hombre,no_indi,65+,5,4,2,4,4,1,1,1,1,3
110101906,4,1,Hombre,no_indi,65+,4,4,4,4,3,1,1,1,1,4
